Benchmark,Baseline_IPC,champsim_mockingjay.orig_triage_17_nlpc_llc_filtNonLLC_IPC,champsim_mockingjay.orig_triage_17_nlpc_llc_filtNonLLC_Speedup,champsim_mockingjay.orig_triage_16_lpc_all_filtAll_IPC,champsim_mockingjay.orig_triage_16_lpc_all_filtAll_Speedup,champsim_mockingjay.orig_triage_16_lpc_llc_filtAll_IPC,champsim_mockingjay.orig_triage_16_lpc_llc_filtAll_Speedup
.astar_23B.trace.gz,0.6238,N/A,N/A,0.6244,0.10%,0.6206,-0.51%
.astar_313B.trace.gz,0.3679,N/A,N/A,0.5024,36.56%,0.5032,36.78%
.bfs__amazon-2008.mtx__19000000000.xz,1.393,N/A,N/A,1.45,4.09%,1.479,6.17%
.bfs__amazon-2008.mtx__23000000000.xz,1.126,N/A,N/A,1.183,5.06%,1.186,5.33%
.bfs__citationCiteseer.mtx__4000000000.xz,1.319,N/A,N/A,1.341,1.67%,1.334,1.14%
.bfs__citationCiteseer.mtx__7000000000.xz,0.9165,N/A,N/A,0.9724,6.10%,0.9686,5.68%
.bfs__com-Youtube.mtx__11000000000.xz,1.145,N/A,N/A,1.176,2.71%,1.176,2.71%
.bfs__com-Youtube.mtx__14000000000.xz,1.458,N/A,N/A,1.56,7.00%,1.588,8.92%
.bfs__dblp-2010.mtx__4000000000.xz,1.214,N/A,N/A,1.22,0.49%,1.22,0.49%
.bfs__kron-18__269000000000.xz,0.8366,N/A,N/A,0.9197,9.93%,0.9265,10.75%
.bfs__luxembourg_osm.mtx__0.xz,1.36,N/A,N/A,1.356,-0.29%,1.352,-0.59%
.bfs__netherlands_osm.mtx__37000000000.xz,0.9857,N/A,N/A,0.9016,-8.53%,0.8446,-14.31%
.bfs__urand-17__39000000000.xz,1.009,N/A,N/A,1.216,20.52%,1.17,15.96%
.bfs__urand-17__699000000000.xz,1.006,N/A,N/A,1.179,17.20%,1.182,17.50%
.bfs__urand-18__1342000000000.xz,1.244,N/A,N/A,1.289,3.62%,1.289,3.62%
.bfs__urand-18__2050000000000.xz,1.194,N/A,N/A,1.306,9.38%,1.295,8.46%
.bwaves_1609B.trace.gz,1.617,N/A,N/A,1.602,-0.93%,1.588,-1.79%
.bwaves_1861B.trace.gz,1.649,N/A,N/A,1.676,1.64%,1.675,1.58%
.cc__amazon-2008.mtx__25000000000.xz,0.8372,N/A,N/A,0.879,4.99%,0.8758,4.61%
.cc__citationCiteseer.mtx__5000000000.xz,0.7158,N/A,N/A,0.7375,3.03%,0.7377,3.06%
.cc__com-Youtube.mtx__11000000000.xz,1.089,N/A,N/A,1.123,3.12%,1.134,4.13%
.cc__com-Youtube.mtx__13000000000.xz,1.115,N/A,N/A,1.169,4.84%,1.17,4.93%
.cc__dblp-2010.mtx__3000000000.xz,1.091,N/A,N/A,1.107,1.47%,1.109,1.65%
.cc__dblp-2010.mtx__6000000000.xz,1.043,N/A,N/A,1.068,2.40%,1.071,2.68%
.cc__kron-18__366000000000.xz,0.628,N/A,N/A,0.697,10.99%,0.6945,10.59%
.cc__netherlands_osm.mtx__11000000000.xz,1.192,N/A,N/A,1.237,3.78%,1.238,3.86%
.cc__urand-17__1304000000000.xz,0.75,N/A,N/A,0.8524,13.65%,0.8523,13.64%
.cc__urand-17__550000000000.xz,0.7695,N/A,N/A,0.8572,11.40%,0.8608,11.86%
.cc__urand-18__2669000000000.xz,0.6567,N/A,N/A,0.7672,16.83%,0.7363,12.12%
.gcc_13B.trace.gz,0.7885,N/A,N/A,0.797,1.08%,0.7975,1.14%
.mcf_158B.trace.gz,0.245,N/A,N/A,N/A,N/A,0.2951,20.45%
.mcf_250B.trace.gz,0.285,N/A,N/A,N/A,N/A,0.2958,3.79%
.mcf_46B.trace.gz,0.3029,N/A,N/A,0.3747,23.70%,0.3756,24.00%
.omnetpp_340B.trace.gz,0.6365,N/A,N/A,0.6791,6.69%,0.6822,7.18%
.soplex_205B.trace.gz,0.7624,N/A,N/A,0.8952,17.42%,0.8964,17.58%
.soplex_217B.trace.gz,0.7411,N/A,N/A,0.8905,20.16%,0.892,20.36%
.soplex_66B.trace.gz,0.8528,N/A,N/A,0.9685,13.57%,0.9708,13.84%
.sphinx3_883B.trace.gz,2.026,N/A,N/A,1.726,-14.81%,1.722,-15.00%
.xalancbmk_748B.trace.gz,1.351,N/A,N/A,1.365,1.04%,1.368,1.26%
.xalancbmk_768B.trace.gz,1.308,N/A,N/A,1.316,0.61%,1.318,0.76%
.xalancbmk_99B.trace.gz,0.5979,N/A,N/A,0.6991,16.93%,0.698,16.74%
