Benchmark,Baseline_IPC,champsim_mockingjay_bypass_IPC,champsim_mockingjay_bypass_Speedup
.astar_23B.trace.gz,0.5914,0.5946,0.54%
.astar_313B.trace.gz,0.3657,0.465,27.15%
.bfs__amazon-2008.mtx__19000000000.xz,1.385,1.418,2.38%
.bfs__amazon-2008.mtx__23000000000.xz,1.065,1.129,6.01%
.bfs__citationCiteseer.mtx__4000000000.xz,1.301,1.321,1.54%
.bfs__citationCiteseer.mtx__7000000000.xz,0.8,0.9202,15.02%
.bfs__com-Youtube.mtx__11000000000.xz,1.134,1.159,2.20%
.bfs__com-Youtube.mtx__14000000000.xz,1.381,1.505,8.98%
.bfs__dblp-2010.mtx__4000000000.xz,1.15,1.208,5.04%
.bfs__kron-18__269000000000.xz,0.7478,0.9155,22.43%
.bfs__luxembourg_osm.mtx__0.xz,1.359,1.353,-0.44%
.bfs__netherlands_osm.mtx__37000000000.xz,0.9412,0.7821,-16.90%
.bfs__urand-17__39000000000.xz,0.9855,1.167,18.42%
.bfs__urand-17__699000000000.xz,1.008,1.169,15.97%
.bfs__urand-18__1342000000000.xz,1.135,1.219,7.40%
.bfs__urand-18__2050000000000.xz,1.114,1.221,9.61%
.bwaves_1609B.trace.gz,1.608,1.577,-1.93%
.bwaves_1861B.trace.gz,1.609,1.643,2.11%
.cc__amazon-2008.mtx__25000000000.xz,0.8469,0.8626,1.85%
.cc__citationCiteseer.mtx__5000000000.xz,0.7315,0.7342,0.37%
.cc__com-Youtube.mtx__11000000000.xz,1.065,1.094,2.72%
.cc__com-Youtube.mtx__13000000000.xz,1.112,1.145,2.97%
.cc__dblp-2010.mtx__3000000000.xz,1.055,1.102,4.45%
.cc__dblp-2010.mtx__6000000000.xz,1.006,1.062,5.57%
.cc__kron-18__366000000000.xz,0.5813,0.6852,17.87%
.cc__netherlands_osm.mtx__11000000000.xz,1.195,1.196,0.08%
.cc__urand-17__1304000000000.xz,0.7227,0.8404,16.29%
.cc__urand-17__550000000000.xz,0.7261,0.8404,15.74%
.cc__urand-18__2669000000000.xz,0.6692,0.6851,2.38%
.gcc_13B.trace.gz,0.7551,0.7676,1.66%
.mcf_158B.trace.gz,0.2701,0.2724,0.85%
.mcf_250B.trace.gz,0.2934,0.293,-0.14%
.mcf_46B.trace.gz,0.3169,0.3335,5.24%
.omnetpp_340B.trace.gz,0.4457,0.5218,17.07%
.soplex_205B.trace.gz,0.6021,0.7951,32.05%
.soplex_217B.trace.gz,0.5857,0.7887,34.66%
.soplex_66B.trace.gz,0.7067,0.8999,27.34%
.sphinx3_883B.trace.gz,1.985,1.734,-12.64%
.xalancbmk_748B.trace.gz,1.326,1.343,1.28%
.xalancbmk_768B.trace.gz,1.287,1.301,1.09%
.xalancbmk_99B.trace.gz,0.4823,0.6418,33.07%
