Benchmark,Baseline_IPC,champsim_pacman_bypass_IPC,champsim_pacman_bypass_Speedup
.astar_23B.trace.gz,0.5954,0.5968,0.24%
.astar_313B.trace.gz,0.4478,0.4771,6.54%
.bfs__amazon-2008.mtx__19000000000.xz,1.354,1.431,5.69%
.bfs__amazon-2008.mtx__23000000000.xz,1.097,1.147,4.56%
.bfs__citationCiteseer.mtx__4000000000.xz,1.255,1.269,1.12%
.bfs__citationCiteseer.mtx__7000000000.xz,0.9084,0.9578,5.44%
.bfs__com-Youtube.mtx__11000000000.xz,1.067,1.085,1.69%
.bfs__com-Youtube.mtx__14000000000.xz,1.495,1.508,0.87%
.bfs__dblp-2010.mtx__4000000000.xz,1.216,1.211,-0.41%
.bfs__kron-18__269000000000.xz,0.8908,0.9213,3.42%
.bfs__luxembourg_osm.mtx__0.xz,1.351,1.347,-0.30%
.bfs__netherlands_osm.mtx__37000000000.xz,0.873,0.7679,-12.04%
.bfs__urand-17__39000000000.xz,1.091,1.156,5.96%
.bfs__urand-17__699000000000.xz,1.104,1.162,5.25%
.bfs__urand-18__1342000000000.xz,1.173,1.22,4.01%
.bfs__urand-18__2050000000000.xz,1.18,1.217,3.14%
.bwaves_1609B.trace.gz,1.588,1.568,-1.26%
.bwaves_1861B.trace.gz,1.647,1.658,0.67%
.cc__amazon-2008.mtx__25000000000.xz,0.8458,0.8566,1.28%
.cc__citationCiteseer.mtx__5000000000.xz,0.727,0.7359,1.22%
.cc__com-Youtube.mtx__11000000000.xz,0.9898,1.045,5.58%
.cc__com-Youtube.mtx__13000000000.xz,1.107,1.142,3.16%
.cc__dblp-2010.mtx__3000000000.xz,1.073,1.086,1.21%
.cc__dblp-2010.mtx__6000000000.xz,1.057,1.063,0.57%
.cc__kron-18__366000000000.xz,0.6579,0.6898,4.85%
.cc__netherlands_osm.mtx__11000000000.xz,1.184,1.208,2.03%
.cc__urand-17__1304000000000.xz,0.7859,0.8452,7.55%
.cc__urand-17__550000000000.xz,0.787,0.8445,7.31%
.cc__urand-18__2669000000000.xz,0.676,0.6812,0.77%
.gcc_13B.trace.gz,0.7542,0.7608,0.88%
.mcf_158B.trace.gz,0.2536,0.269,6.07%
.mcf_250B.trace.gz,0.2827,0.2888,2.16%
.mcf_46B.trace.gz,0.2908,0.3101,6.64%
.omnetpp_340B.trace.gz,0.5196,0.5419,4.29%
.soplex_205B.trace.gz,0.6866,0.7351,7.06%
.soplex_217B.trace.gz,0.6739,0.7213,7.03%
.soplex_66B.trace.gz,0.8197,0.8774,7.04%
.sphinx3_883B.trace.gz,1.841,1.734,-5.81%
.xalancbmk_748B.trace.gz,1.346,1.349,0.22%
.xalancbmk_768B.trace.gz,1.299,1.31,0.85%
.xalancbmk_99B.trace.gz,0.572,0.6061,5.96%
